Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MSRu5wksC0Esn63XOgmI3,TROUBLE,Target: ME,EVNNE,9/19/2023,206946,50,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-09-23T17:36:18Z,"k-pop,noise music","Genie Music Corporation, Stone Music Entertainment",0.751,0.903,2,-3.066,1,0.112,0.0194,0,0.0739,0.76,134.963,4
spotify:track:0fkL0fOhEzRK8WFe2ixt2d,Social Path,Social Path,Stray Kids;LiSA,8/30/2023,198786,66,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-09-23T17:36:35Z,"k-pop,noise music,anime,j-pop,j-rock",Sony Music Labels Inc.,0.562,0.91,11,-3.51,0,0.21,0.0554,0,0.242,0.405,172.013,4
spotify:track:2qWIeuIxVJglnWWsDpyhfU,RINGO,RINGO,ITZY,9/27/2023,209000,50,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-02T03:29:15Z,k-pop,WM Japan,0.78,0.921,4,-2.382,0,0.0796,0.139,0,0.347,0.828,119.998,4
spotify:track:7sDkXyDikXhpRz715MdiEp,PUPPET SHOW,NEW DNA,XG,9/27/2023,199960,63,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-02T03:29:19Z,k-pop,XGALX,0.781,0.611,0,-6.211,1,0.136,0.081,0.0000034,0.208,0.722,149.996,4
spotify:track:6uTPA1xlcsk6dbchB2dhzl,Back for More (with Anitta),Back for More (with Anitta),TOMORROW X TOGETHER;Anitta,9/15/2023,131037,62,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:11:28Z,"k-pop,brazilian pop,funk pop,brazilian funk,funk carioca",Republic Records - TXT,0.785,0.897,4,-3.447,0,0.158,0.0452,0,0.222,0.891,115.916,4
spotify:track:0f0SbtoKGe41cX5LzlnX6X,Tinnitus (Wanna be a rock),The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,157261,66,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:11:51Z,k-pop,Republic Records - TXT,0.9,0.725,5,-6.213,0,0.135,0.179,0.00101,0.0791,0.791,100.015,4
spotify:track:43mnNatwMMydJ4CxMdQVnJ,"Farewell, Neverland",The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,180676,62,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:12:10Z,k-pop,Republic Records - TXT,0.615,0.645,1,-5.87,0,0.134,0.357,0,0.113,0.787,167.952,4
spotify:track:1kfpDfQdK7oDxfw4XgSJT1,BLOSSOM,結 -YOU-,ENHYPEN,9/4/2023,236386,49,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:12:27Z,k-pop,Universal Music LLC,0.603,0.672,1,-4.602,0,0.0428,0.424,0,0.236,0.468,139.837,4
spotify:track:0Eglu3fErlG196PtTwCUPM,CRIMINAL LOVE,CRIMINAL LOVE,ENHYPEN,7/31/2023,215631,68,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:12:40Z,k-pop,BELIFT LAB,0.603,0.811,2,-3.318,0,0.0379,0.0663,0,0.404,0.549,89.995,3
spotify:track:0iLyNDLTsBkqB8SLAzNGxF,Fate,DARK BLOOD,ENHYPEN,5/22/2023,151669,63,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:12:47Z,k-pop,BELIFT LAB,0.504,0.741,8,-7.47,1,0.0421,0.0531,0.00000447,0.343,0.486,84.046,3
spotify:track:7nBjhYbLttb9LHZHqNuld5,Chaconne,DARK BLOOD,ENHYPEN,5/22/2023,213705,67,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:13:04Z,k-pop,BELIFT LAB,0.646,0.644,6,-6.192,0,0.0587,0.0975,0,0.0581,0.462,139.959,4
